block,street_name,lat,long,town
178,ANG MO KIO AVE 4,1.37619319942084,103.837038191014,ANG MO KIO
180,ANG MO KIO AVE 5,1.37667706463384,103.838361037555,ANG MO KIO
209,ANG MO KIO AVE 3,1.3689707964151103,103.84328452487101,ANG MO KIO
231,ANG MO KIO AVE 3,1.3685610357235802,103.837525234344,ANG MO KIO
254,ANG MO KIO AVE 4,1.37020344042149,103.834687722549,ANG MO KIO
103,ANG MO KIO AVE 3,1.3710165780460701,103.839304839187,ANG MO KIO
105,ANG MO KIO AVE 4,1.37231328287074,103.837601112788,ANG MO KIO
344,ANG MO KIO AVE 3,1.36797705108687,103.849264839398,ANG MO KIO
324,ANG MO KIO AVE 3,1.3683339220170803,103.846879231399,ANG MO KIO
120,ANG MO KIO AVE 3,1.37004739686134,103.844594754874,ANG MO KIO
124,ANG MO KIO AVE 6,1.37089179310255,103.844768276408,ANG MO KIO
414,ANG MO KIO AVE 10,1.36390466431674,103.85391383950301,ANG MO KIO
438,ANG MO KIO AVE 10,1.3669708169506,103.853906591778,ANG MO KIO
427,ANG MO KIO AVE 3,1.36931185924708,103.854550605629,ANG MO KIO
428,ANG MO KIO AVE 3,1.36893906457106,103.85441228851299,ANG MO KIO
473,ANG MO KIO AVE 10,1.3630538091463997,103.85684600256799,ANG MO KIO
573,ANG MO KIO AVE 3,1.37056143999068,103.85482310278499,ANG MO KIO
585,ANG MO KIO AVE 3,1.3705975605093401,103.85236704090099,ANG MO KIO
456,ANG MO KIO AVE 10,1.3671607199267801,103.858658520644,ANG MO KIO
544,ANG MO KIO AVE 10,1.37395961943025,103.85647136851101,ANG MO KIO
640,ANG MO KIO AVE 6,1.3800343603701002,103.843606664405,ANG MO KIO
638,ANG MO KIO AVE 6,1.3807556573696398,103.84389322573999,ANG MO KIO
646,ANG MO KIO AVE 6,1.37939517687868,103.84376359941099,ANG MO KIO
150,ANG MO KIO AVE 5,1.37680678506745,103.84201796257601,ANG MO KIO
179,ANG MO KIO AVE 5,1.3769041807729798,103.836218103538,ANG MO KIO
336,ANG MO KIO AVE 1,1.3631153631176103,103.852216986468,ANG MO KIO
335,ANG MO KIO AVE 1,1.36320996798464,103.85069059725402,ANG MO KIO
401,ANG MO KIO AVE 10,1.36060334385319,103.857665307591,ANG MO KIO
439,ANG MO KIO AVE 10,1.36629197864804,103.85349630883002,ANG MO KIO
430,ANG MO KIO AVE 3,1.36899287777803,103.85276134968001,ANG MO KIO
460,ANG MO KIO AVE 10,1.3663394770983401,103.85912231951299,ANG MO KIO
459,ANG MO KIO AVE 10,1.36701964480662,103.859377190201,ANG MO KIO
716,ANG MO KIO AVE 6,1.37147783065154,103.84586875099801,ANG MO KIO
545,ANG MO KIO AVE 10,1.37317921904937,103.85629454142901,ANG MO KIO
620,ANG MO KIO AVE 9,1.38244082944044,103.83954637682699,ANG MO KIO
622,ANG MO KIO AVE 9,1.3820643417450202,103.839741864292,ANG MO KIO
259,ANG MO KIO AVE 2,1.3685814824853302,103.831557777899,ANG MO KIO
101,ANG MO KIO AVE 3,1.3702615838848897,103.839467898898,ANG MO KIO
620,BEDOK RESERVOIR RD,1.334334322264,103.917712559288,BEDOK
534,BEDOK NTH ST 3,1.33303698213003,103.924812248346,BEDOK
18,BEDOK STH RD,1.31784024894206,103.929396777961,BEDOK
28,NEW UPP CHANGI RD,1.32369451969706,103.934994919422,BEDOK
29,NEW UPP CHANGI RD,1.32395813360222,103.936341250384,BEDOK
30,NEW UPP CHANGI RD,1.3231987771242701,103.93494515554899,BEDOK
75,BEDOK NTH RD,1.3279147793318602,103.942144427101,BEDOK
76,BEDOK NTH RD,1.32829666548653,103.942067527916,BEDOK
