resale_price,floor_area_sqm,price_per_sqm,storey_range,,region,storey,no_4_s,no_8_s,unit,no_4_u,no_8_,total_4,total_8
262500,67,3917.910448,04 TO 06,230,OCR,5,0,0,230,0,0,0,0
303000,74,4094.594595,07 TO 09,313,OCR,8,0,1,313,0,0,0,1
453888,104,4364.307692,10 TO 12,897,OCR,11,0,0,897,0,1,0,1
848000,115,7373.913043,16 TO 18,121,RCR,17,0,0,121,0,0,0,0
545000,69,7898.550725,10 TO 12,57,RCR,11,0,0,57,0,0,0,0
345000,90,3833.333333,04 TO 06,420,OCR,5,0,0,420,1,0,1,0
385000,91,4230.769231,01 TO 03,708,OCR,2,0,0,708,0,1,0,1
410000,122,3360.655738,04 TO 06,684,OCR,5,0,0,684,1,1,1,1
368000,104,3538.461538,04 TO 06,820,OCR,5,0,0,820,0,1,0,1
478000,93,5139.784946,19 TO 21,988,OCR,20,0,0,988,0,2,0,2
250000,74,3378.378378,10 TO 12,241,OCR,11,0,0,241,1,0,1,0
630000,123,5121.95122,04 TO 06,27,RCR,5,0,0,27,0,0,0,0
325000,105,3095.238095,01 TO 03,107,OCR,2,0,0,107,0,0,0,0
230000,40,5750,04 TO 06,120,OCR,5,0,0,120,0,0,0,0
305000,100,3050,01 TO 03,787,OCR,2,0,0,787,0,1,0,1
390000,104,3750,01 TO 03,857,OCR,2,0,0,857,0,1,0,1
423000,110,3845.454545,07 TO 09,107,OCR,8,0,1,107,0,0,0,1
280000,68,4117.647059,04 TO 06,45,OCR,5,0,0,45,1,0,1,0
355000,108,3287.037037,10 TO 12,874,OCR,11,0,0,874,1,1,1,1
310000,84,3690.47619,10 TO 12,726,OCR,11,0,0,726,0,0,0,0
320000,67,4776.119403,01 TO 03,331,OCR,2,0,0,331,0,0,0,0
565000,112,5044.642857,07 TO 09,430,OCR,8,0,1,430,1,0,1,1
566000,90,6288.888889,13 TO 15,273,OCR,14,1,0,273,0,0,1,0
318000,70,4542.857143,01 TO 03,830,OCR,2,0,0,830,0,1,0,1
408000,110,3709.090909,04 TO 06,202,OCR,5,0,0,202,0,0,0,0
380000,101,3762.376238,13 TO 15,230,OCR,14,1,0,230,0,0,1,0
625000,142,4401.408451,04 TO 06,311,OCR,5,0,0,311,0,0,0,0
260000,67,3880.597015,04 TO 06,522,OCR,5,0,0,522,0,0,0,0
500000,105,4761.904762,04 TO 06,247,OCR,5,0,0,247,1,0,1,0
327000,95,3442.105263,01 TO 03,619,OCR,2,0,0,619,0,0,0,0
328000,73,4493.150685,01 TO 03,116,OCR,2,0,0,116,0,0,0,0
510000,131,3893.129771,04 TO 06,432,OCR,5,0,0,432,1,0,1,0
540000,138,3913.043478,04 TO 06,408,OCR,5,0,0,408,1,1,1,1
412000,110,3745.454545,13 TO 15,589,OCR,14,1,0,589,0,1,1,1
278000,68,4088.235294,01 TO 03,590,OCR,2,0,0,590,0,0,0,0
855000,122,7008.196721,25 TO 27,43,RCR,26,0,0,43,1,0,1,0
380000,92,4130.434783,01 TO 03,547,OCR,2,0,0,547,1,0,1,0
560000,145,3862.068966,07 TO 09,867,OCR,8,0,1,867,0,1,0,2
520000,148,3513.513514,01 TO 03,160,OCR,2,0,0,160,0,0,0,0
358000,90,3977.777778,01 TO 03,204,OCR,2,0,0,204,1,0,1,0
535000,141,3794.326241,04 TO 06,791,OCR,5,0,0,791,0,0,0,0
370000,91,4065.934066,07 TO 09,478,OCR,8,0,1,478,1,1,1,2
363000,101,3594.059406,01 TO 03,232,OCR,2,0,0,232,0,0,0,0
595000,130,4576.923077,16 TO 18,655,OCR,17,0,0,655,0,0,0,0
735000,95,7736.842105,04 TO 06,273,RCR,5,0,0,273,0,0,0,0
400000,121,3305.785124,07 TO 09,661,OCR,8,0,1,661,0,0,0,1
419000,93,4505.376344,07 TO 09,461,OCR,8,0,1,461,1,0,1,1
345000,68,5073.529412,10 TO 12,211,OCR,11,0,0,211,0,0,0,0
388000,82,4731.707317,04 TO 06,40,RCR,5,0,0,40,1,0,1,0
205000,68,3014.705882,01 TO 03,204,OCR,2,0,0,204,1,0,1,0
568000,112,5071.428571,19 TO 21,430,OCR,20,0,0,430,1,0,1,0
435000,100,4350,04 TO 06,117,OCR,5,0,0,117,0,0,0,0
630000,150,4200,04 TO 06,115,OCR,5,0,0,115,0,0,0,0
618000,117,5282.051282,01 TO 03,12,RCR,2,0,0,12,0,0,0,0
435000,105,4142.857143,07 TO 09,262,OCR,8,0,1,262,0,0,0,1
400000,104,3846.153846,07 TO 09,873,OCR,8,0,1,873,0,1,0,2
613500,111,5527.027027,16 TO 18,335,OCR,17,0,0,335,0,0,0,0
510000,106,4811.320755,01 TO 03,215,RCR,2,0,0,215,0,0,0,0
733000,90,8144.444444,16 TO 18,588,OCR,17,0,0,588,0,2,0,2
728888,164,4444.439024,07 TO 09,666,OCR,8,0,1,666,0,0,0,1
438888,110,3989.890909,13 TO 15,110,OCR,14,1,0,110,0,0,1,0
370000,110,3363.636364,19 TO 21,692,OCR,20,0,0,692,0,0,0,0
329000,65,5061.538462,16 TO 18,57,RCR,17,0,0,57,0,0,0,0
525000,123,4268.292683,04 TO 06,305,OCR,5,0,0,305,0,0,0,0
410000,110,3727.272727,04 TO 06,176,OCR,5,0,0,176,0,0,0,0
570000,111,5135.135135,13 TO 15,684,OCR,14,1,0,684,1,1,2,1
238000,45,5288.888889,04 TO 06,101,OCR,5,0,0,101,0,0,0,0
813000,91,8934.065934,31 TO 33,139,OCR,32,0,0,139,0,0,0,0
725000,146,4965.753425,13 TO 15,516,OCR,14,1,0,516,0,0,1,0
320000,68,4705.882353,04 TO 06,197,OCR,5,0,0,197,0,0,0,0
