,Rank,School_Name,Latitude,Longitude
105,119,Assumption English School ,1.3685340540000002,103.766675
106,120,Bartley Secondary School ,1.34001742,103.88245500000001
107,121,Bedok Green Secondary School ,1.333826681,103.9355132
108,122,Bendemeer Secondary School ,1.324611113,103.86097029999999
109,123,Boon Lay Secondary School ,1.3432237230000001,103.70170290000002
110,124,Broadrick Secondary School ,1.30750538,103.8866754
111,125,Bukit Merah Secondary School ,1.285751537,103.81320840000001
112,126,Changkat Changi Secondary School ,1.34036114,103.9527251
113,127,Damai Secondary School,1.33754548,103.9264171
114,128,Dunearn Secondary School ,1.363638093,103.7450033
115,129,East Spring Secondary School ,1.3567583,103.9611048
116,130,Fajar Secondary School ,1.375565392,103.7638819
117,131,Fuchun Secondary School ,1.430833988,103.777148
118,132,Guangyang Secondary School ,1.344673253,103.8505502
119,133,Junyuan Secondary School ,1.3533412409999999,103.93341140000001
120,134,Loyang Secondary School,1.366658318,103.9580664
121,135,Manjusri Secondary School ,1.327520222,103.901811
122,136,Marsiling Secondary School ,1.4366442480000001,103.77600809999998
123,137,Northbrooks Secondary School,1.420881025,103.8450603
124,138,Northland Secondary School ,1.43573962,103.8401047
125,139,Outram Secondary School ,1.286387486,103.8370728
126,140,Ping Yi Secondary School ,1.327140285,103.9208358
127,141,Sembawang Secondary School ,1.4453150209999999,103.8168433
128,142,Serangoon Garden Secondary School ,1.3698904840000001,103.8691497
129,143,Serangoon Secondary School,1.375555333,103.9019104
130,144,Springfield Secondary School ,1.3495756319999999,103.93021829999999
131,145,Tanglin Secondary School ,1.3097734779999999,103.75821540000001
132,146,Teck Whye Secondary School ,1.383348181,103.7551824
133,147,Whitley Secondary School ,1.355494624,103.8425639
134,148,Woodlands Secondary School ,1.439183317,103.7744988
135,149,Yio Chu Kang Secondary School,1.3782633530000001,103.8418094
136,150,Yuhua Secondary School ,1.347218449,103.72258149999999
137,151,Yuying Secondary School ,1.356933603,103.89045759999999
