,hdb_lat,hdb_long,pri_sch_dist,pri_sch_count,sec_sch_dist,sec_sch_count,mall_dist,mall_count,MRT_dist,MRT_count,bus_stop_dist,bus_stop_count
0,1.362004539,103.8538799,184.7114715,2,629.1473628,0,1013.989167,0,1000.218504,0,92.02622306,14
1,1.370966352,103.8382019,227.333779,1,423.1748871,1,871.5443869,0,1268.450457,0,166.3756952,11
2,1.380708830,103.8353682,786.2771076,0,766.132062,0,1527.7265,0,1071.927218,0,128.634934,15
3,1.366201041,103.8572010,695.3691025,0,599.4755868,0,1032.794574,0,945.8505937,0,69.48959123,10
4,1.381041355,103.8351317,788.9784172,0,804.1275328,0,1571.449352,0,1094.82966,0,149.2247876,11
5,1.376806785,103.8420180,135.4705071,1,162.7243182,1,695.5748295,0,636.8074949,0,91.99288516,18
6,1.367479014,103.8559671,604.2229046,0,448.8378599,1,859.7952361,0,763.6026814,0,139.8335689,11
7,1.365119086,103.8417425,532.3112266,0,265.4431007,1,885.8982368,0,1019.31013,0,132.3640282,13
8,1.370055013,103.8548806,397.4659875,1,443.8630543,1,716.3249744,0,592.9947378,0,101.1438682,19
9,1.374058463,103.8541682,355.1919954,1,305.4043966,1,817.0504528,0,686.8911999,0,86.35954105,17
10,1.367549250,103.8367406,307.6775868,1,169.0679972,1,1136.302224,0,1450.081925,0,125.3843434,14
11,1.366823609,103.8364912,378.7664699,1,204.2850674,1,1197.196726,0,1493.787747,0,168.1923297,16
12,1.365981980,103.8406540,387.9076863,1,264.7730296,1,885.4441226,0,1082.492942,0,120.5528876,13
13,1.374473785,103.8541005,382.5839384,1,298.2950426,1,841.1994322,0,712.8419995,0,92.76216334,16
14,1.368854452,103.8378964,130.1052419,1,279.427492,1,961.3485587,0,1302.766346,0,122.7923597,13
15,1.369743586,103.8560231,525.5396418,0,526.379491,0,840.5920899,0,720.2932682,0,28.03527463,14
16,1.381561712,103.8400023,369.7913764,1,352.0580549,2,1254.746808,0,550.3571948,0,82.25006534,15
17,1.366050278,103.8541683,361.4345109,1,286.8512972,1,733.0295936,0,669.401378,0,216.1499757,14
